epoch,loss,mrcnn_bbox_loss,mrcnn_class_loss,mrcnn_mask_loss,rpn_bbox_loss,rpn_class_loss,val_loss,val_mrcnn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_mask_loss,val_rpn_bbox_loss,val_rpn_class_loss
0,"""[[2.896886]]""","""[[0.5288644]]""",0.8988319316413254,"""[[0.57484585]]""",0.7605929374694824,0.1337444730452262,"""[[2.337967]]""","""[[0.41431546]]""",0.6994837522506714,"""[[0.4759489]]""",0.6104416251182556,0.1377701312303543
1,"""[[2.1869001]]""","""[[0.38849303]]""",0.6070394685957581,"""[[0.39996278]]""",0.6866918932646513,0.10470622288994491,"""[[2.0680356]]""","""[[0.35600656]]""",0.627693772315979,"""[[0.35959315]]""",0.5942304134368896,0.1305045187473297
2,"""[[2.0787127]]""","""[[0.36339882]]""",0.5814257247839123,"""[[0.36261272]]""",0.672256191726774,0.09901206751237623,"""[[2.2440248]]""","""[[0.40493098]]""",0.7186850309371948,"""[[0.40047845]]""",0.5918834805488586,0.12803971767425537
3,"""[[2.0322394]]""","""[[0.3463164]]""",0.5708393505774438,"""[[0.34883088]]""",0.6660111059900373,0.10023437131894752,"""[[1.9434779]]""","""[[0.33436304]]""",0.5689239501953125,"""[[0.34113085]]""",0.5675869584083557,0.13146592676639557
4,"""[[2.0056138]]""","""[[0.3507287]]""",0.5580536974593997,"""[[0.34863833]]""",0.6499561152886599,0.09822952083777636,"""[[1.9300033]]""","""[[0.35148072]]""",0.5058273077011108,"""[[0.37375838]]""",0.5715112686157227,0.12741844356060028
5,"""[[1.9540715]]""","""[[0.33409968]]""",0.5523822596296668,"""[[0.34137544]]""",0.63455496635288,0.09165216537076049,"""[[2.109673]]""","""[[0.40317088]]""",0.6393262147903442,"""[[0.37454635]]""",0.5657075643539429,0.12691476941108704
6,"""[[1.9561315]]""","""[[0.32671005]]""",0.5479298364371061,"""[[0.33538884]]""",0.6516073276288807,0.09448856237577274,"""[[1.9087636]]""","""[[0.3587789]]""",0.44459033012390137,"""[[0.40464473]]""",0.5720891952514648,0.1286533772945404
7,"""[[1.9398228]]""","""[[0.32865223]]""",0.5375700746662915,"""[[0.33512866]]""",0.6468340035062283,0.09163050111965276,"""[[2.1565278]]""","""[[0.4284379]]""",0.7090360522270203,"""[[0.331418]]""",0.5657331347465515,0.12189555168151855
