epoch,loss,mrcnn_bbox_loss,mrcnn_class_loss,mrcnn_mask_loss,rpn_bbox_loss,rpn_class_loss,val_loss,val_mrcnn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_mask_loss,val_rpn_bbox_loss,val_rpn_class_loss
0,"""[[2.8731053]]""","""[[0.510843]]""",0.8497856417670846,"""[[0.6307733]]""",0.7502461546100676,0.13144904002547264,"""[[2.159923]]""","""[[0.34499797]]""",0.47600606083869934,"""[[0.5163861]]""",0.7174009084701538,0.10512447357177734
1,"""[[2.2065756]]""","""[[0.37739715]]""",0.6051610084250569,"""[[0.44591403]]""",0.6802345279138535,0.09786125813843682,"""[[2.1718338]]""","""[[0.33844894]]""",0.6165810823440552,"""[[0.44020298]]""",0.6779596209526062,0.09863342344760895
2,"""[[2.0705462]]""","""[[0.35346177]]""",0.5695316214114428,"""[[0.37979624]]""",0.669875510269776,0.0978736926917918,"""[[1.9574599]]""","""[[0.2809568]]""",0.5333638191223145,"""[[0.37893316]]""",0.6672199368476868,0.09697842597961426
3,"""[[1.992828]]""","""[[0.34047842]]""",0.5673703956417739,"""[[0.36016136]]""",0.6314619560725987,0.09334774236776866,"""[[2.002015]]""","""[[0.34081024]]""",0.5350515842437744,"""[[0.34956932]]""",0.6838939189910889,0.0926823690533638
4,"""[[1.9543085]]""","""[[0.33405256]]""",0.5398606460075825,"""[[0.34631568]]""",0.6395420688204467,0.094529822061304,"""[[1.8625749]]""","""[[0.30527753]]""",0.49098360538482666,"""[[0.31569457]]""",0.6560496091842651,0.09456191211938858
5,"""[[1.9602143]]""","""[[0.33039784]]""",0.5470318784937263,"""[[0.3451433]]""",0.6444610620383173,0.09317184417159297,"""[[1.8974141]]""","""[[0.31618136]]""",0.5462717413902283,"""[[0.3094794]]""",0.6329678297042847,0.09250610321760178
6,"""[[1.9352845]]""","""[[0.32789004]]""",0.545447540236637,"""[[0.33816448]]""",0.6345582734793425,0.08921717252815142,"""[[2.034651]]""","""[[0.34161276]]""",0.5885744690895081,"""[[0.38542357]]""",0.6275644898414612,0.09146812558174133
7,"""[[1.8964955]]""","""[[0.31864917]]""",0.5297701896633953,"""[[0.3340413]]""",0.6242497626226395,0.08977715420769528,"""[[1.9343456]]""","""[[0.3183028]]""",0.5519850254058838,"""[[0.3435637]]""",0.6296350359916687,0.09085118025541306
