epoch,loss,mrcnn_bbox_loss,mrcnn_class_loss,mrcnn_mask_loss,rpn_bbox_loss,rpn_class_loss,val_loss,val_mrcnn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_mask_loss,val_rpn_bbox_loss,val_rpn_class_loss
0,"""[[1.735799]]""","""[[0.42327774]]""",0.5044646051246673,"""[[0.4907406]]""",0.2902849121019244,0.027023755537811667,"""[[1.3176111]]""","""[[0.30698234]]""",0.3475295603275299,"""[[0.34841272]]""",0.2831989824771881,0.031479883939027786
1,"""[[1.2635185]]""","""[[0.28681546]]""",0.31017190840793774,"""[[0.35360783]]""",0.28788271418306977,0.02503370367048774,"""[[1.2140058]]""","""[[0.23955822]]""",0.3684403598308563,"""[[0.2921875]]""",0.2833264172077179,0.030485697090625763
2,"""[[1.2203927]]""","""[[0.26681185]]""",0.31849252933170646,"""[[0.3341244]]""",0.2763889124034904,0.02456738886394305,"""[[1.0340793]]""","""[[0.16922525]]""",0.2522641122341156,"""[[0.29078335]]""",0.2924567759037018,0.029342174530029297
3,"""[[1.1992227]]""","""[[0.2612496]]""",0.3079985867952928,"""[[0.33130002]]""",0.27178529475349933,0.02688162410777295,"""[[1.0806715]]""","""[[0.19249539]]""",0.29009243845939636,"""[[0.29158556]]""",0.27840209007263184,0.028088415041565895
4,"""[[1.1549071]]""","""[[0.24694195]]""",0.3007988198660314,"""[[0.3163805]]""",0.26508221053518355,0.025696057862660382,"""[[0.984717]]""","""[[0.17660296]]""",0.25387105345726013,"""[[0.24584784]]""",0.2796269357204437,0.02876058965921402
5,"""[[1.1336073]]""","""[[0.24409306]]""",0.28918968269135803,"""[[0.31795168]]""",0.260711474053096,0.021654040610883385,"""[[1.2115633]]""","""[[0.23331161]]""",0.3458353281021118,"""[[0.33137023]]""",0.27105891704559326,0.0299796424806118
6,"""[[1.1229199]]""","""[[0.23438369]]""",0.2887446922250092,"""[[0.3100635]]""",0.2642551496392116,0.025465144899499137,"""[[1.2587008]]""","""[[0.24115367]]""",0.38466596603393555,"""[[0.340338]]""",0.2652466595172882,0.0272888895124197
7,"""[[1.121298]]""","""[[0.23254417]]""",0.2853326251497492,"""[[0.31525958]]""",0.2648564060218632,0.023297563806409016,"""[[1.1828514]]""","""[[0.23766771]]""",0.32149603962898254,"""[[0.32556334]]""",0.2692936360836029,0.02882317639887333
